Column Name,Data Type,Description
FlightDate,object,FlightDate
Airline,object,Airline
Origin,object,Origin
Dest,object,Dest
Cancelled,bool,Cancelled
Diverted,bool,Diverted
CRSDepTime,int64,CRSDepTime
DepTime,float64,DepTime
DepDelayMinutes,float64,DepDelayMinutes
DepDelay,float64,DepDelay
ArrTime,float64,ArrTime
ArrDelayMinutes,float64,ArrDelayMinutes
AirTime,float64,AirTime
CRSElapsedTime,float64,CRSElapsedTime
ActualElapsedTime,float64,ActualElapsedTime
Distance,float64,Distance
Year,int64,Year
Quarter,int64,Quarter
Month,int64,Month
DayofMonth,int64,DayofMonth
DayOfWeek,int64,DayOfWeek
Marketing_Airline_Network,object,Marketing_Airline_Network
Operated_or_Branded_Code_Share_Partners,object,Operated_or_Branded_Code_Share_Partners
DOT_ID_Marketing_Airline,int64,DOT_ID_Marketing_Airline
IATA_Code_Marketing_Airline,object,IATA_Code_Marketing_Airline
Flight_Number_Marketing_Airline,int64,Flight_Number_Marketing_Airline
Operating_Airline,object,Operating_Airline
DOT_ID_Operating_Airline,int64,DOT_ID_Operating_Airline
IATA_Code_Operating_Airline,object,IATA_Code_Operating_Airline
Tail_Number,object,Tail_Number
Flight_Number_Operating_Airline,int64,Flight_Number_Operating_Airlin
OriginAirportID,int64,OriginAirportID
OriginAirportSeqID,int64,OriginAirportSeqID
OriginCityMarketID,int64,OriginCityMarketID
OriginCityName,object,OriginCityName
OriginState,object,OriginState
OriginStateFips,int64,OriginStateFips
OriginStateName,object,OriginStateName
OriginWac,int64,OriginWac
DestAirportID,int64,DestAirportID
DestAirportSeqID,int64,DestAirportSeqID
DestCityMarketID,int64,DestCityMarketID
DestCityName,object,DestCityName
DestState,object,DestState
DestStateFips,int64,DestStateFips
DestStateName,object,DestStateName
DestWac,int64,DestWac
DepDel15,float64,DepDel15
DepartureDelayGroups,float64,DepartureDelayGroups
DepTimeBlk,object,DepTimeBlk
TaxiOut,float64,TaxiOut
WheelsOff,float64,WheelsOff
WheelsOn,float64,WheelsOn
TaxiIn,float64,TaxiIn
CRSArrTime,int64,CRSArrTime
ArrDelay,float64,ArrDelay
ArrDel15,float64,ArrDel15
ArrivalDelayGroups,float64,ArrivalDelayGroups
ArrTimeBlk,object,ArrTimeBlk
DistanceGroup,int64,DistanceGroup
DivAirportLandings,float64,DivAirportLandings
